,Date,Hour,Minute,Average Price,Pseudo-Log-Return,Direction,Standard Deviation,Trend Indicator
0,20201015,0,30,118.6609554094320,0.0,0,0.00457726500436282,0.017026480910761600
1,20201015,0,31,119.46736565087000,0.006772930834285870,0,0.0014249706329180000,0.00016180845849836200
2,20201015,0,32,119.54081244746800,0.0006145965338486550,0,0.0029592466459033300,0.007587231626793620
3,20201015,0,33,119.57152460744600,0.00025688478081420400,0,0.0019683696333648800,-0.00406484944273881
4,20201015,0,34,119.35451518093600,-0.0018165411051667100,0,0.0004384302380341770,-0.004946810825149370
5,20201015,0,35,119.45967736423200,0.0008807030183035640,0,0.0036003778575831100,0.00450709261114159
6,20201015,0,36,119.9633319058950,0.004207242120338960,0,0.0019081627133190000,0.006126122752618320
7,20201015,0,37,119.91888080399700,-0.0003706077403968780,0,0.003220024766226480,-0.00381023877666263
8,20201015,0,38,119.67592931344800,-0.0020280203373186400,0,0.00359307326858505,0.002715193073918420
9,20201015,0,39,119.93383086966700,0.0021526807223146700,0,0.0032681229972290600,-0.0029956319945839400
10,20201015,0,40,119.78241265206900,-0.0012633122854923700,0,0.0016146773005680500,0.000738451024953008
11,20201015,0,41,120.04619057112200,0.0021997211497879500,0,0.001702214394983220,0.006549791469467720
12,20201015,0,42,120.18163020920500,0.0011275933985768200,1,0.00011073442427589600,0.00229405340306332
13,20201015,0,43,120.07941556829000,-0.0008508632496013750,1,0.0007973009302620120,0.0005420988725501790
14,20201015,0,44,120.13961450189,0.000501200382355016,1,0.001959951986263860,0.0006030562790648810
15,20201015,0,45,120.17935783673500,0.00033075486983325000,1,0.0005304884118413180,-0.00024558216704356700
16,20201015,0,46,120.0786041976100,-0.0008387122256259260,0,0.0014124566774394300,-0.0035432122320581000
17,20201015,0,47,119.99976614466900,-0.0006567693346317680,0,0.0006848328659779060,-0.0018948226289424600
18,20201015,0,48,119.93542135506200,-0.000536351435736826,0,0.00041371546513063600,-0.0007884466082402400
19,20201015,0,49,120.07016500956100,0.0011228377697101200,0,0.0005468637365655870,0.001488279861860300
20,20201015,0,50,120.0267027515400,-0.00036203936270595700,0,0.0016880339342112300,0.0026756927062872800
21,20201015,0,51,120.28538874268900,0.002152917811661050,0,0.0013031850031041700,0.0021138214842926200
22,20201015,0,52,120.40785865227000,0.0010176431742543500,1,0.000583130111832875,0.0022464863415347400
23,20201015,0,53,120.53146687574600,0.0010260527960701500,1,0.0017029015030297800,0.001727599065395540
24,20201015,0,54,120.57312618055600,0.0003455703991042110,1,0.0009899479259021100,-0.0007772496490678950
25,20201015,0,55,120.4064596717080,-0.0013832419441923700,1,0.0012550965512285100,-0.003950412268916930
26,20201015,0,56,120.39405305635200,-0.00010304475872224800,1,0.0003484890374549730,0.0020788068063495
27,20201015,0,57,120.27994409647200,-0.0009482450931956880,1,0.00189623005355059,-0.0028647554935147300
28,20201015,0,58,120.17006567627500,-0.0009139398908661890,1,0.0018966449597340800,-0.002677814109926980
29,20201015,0,59,120.11860877901200,-0.00042829232935570600,1,0.0018282085619262400,0.0014462888207675300
30,20201015,1,0,120.21082006908300,0.000767374141720012,1,0.002371890804214760,-0.0026499499609185200
31,20201015,1,1,119.98859198943600,-0.0018503637552536000,1,0.00019370302922939600,-0.001595366382012950
32,20201015,1,2,120.01645857461000,0.00023221665738937200,1,0.0007357011787585120,-4.81547894550131E-05
33,20201015,1,3,119.90187620469000,-0.0009551781754186810,1,0.0010733296844343200,-0.0019627356637637100
34,20201015,1,4,119.82953658058400,-0.0006035056103863570,1,0.0006244383938944290,-0.002385211179692270
35,20201015,1,5,119.8850372945650,0.0004630566600507540,1,0.00010340665234443000,-2.17587256150507E-05
36,20201015,1,6,119.96816968375300,0.0006931939211058950,1,0.0012978019958614400,-0.0011050194737722400
37,20201015,1,7,119.86188768513400,-0.0008863109715546710,1,0.0030950833754682700,-0.005607447645581520
38,20201015,1,8,119.58817224299000,-0.002286201652615280,1,0.0007364996156367290,-0.0006015686250470330
39,20201015,1,9,119.5075135135130,-0.0006746983516743300,0,0.0011044070264615200,-0.004177030827612280
40,20201015,1,10,119.54366553585100,0.00030246261706068400,1,0.0020917276627393300,0.004117657999226710
41,20201015,1,11,119.57963347701100,0.0003008317598434120,0,0.00022905363302861800,9.17587881753189E-05
42,20201015,1,12,119.55604770173700,-0.0001972585206377890,0,8.93189003876046E-05,-0.0014464767402044900
43,20201015,1,13,119.52171880860400,-0.00028717763152474900,0,0.000106126794052774,-0.0005343694439870730
44,20201015,1,14,119.54873385373800,0.0002260007035435050,0,0.0009878032906800060,-0.0018586407863639600
45,20201015,1,15,119.35790702736200,-0.001597501570112850,0,0.0010384975013774500,-0.0013643360701365300
46,20201015,1,16,119.66762649517600,0.0025915192957679500,0,0.0027323055393353500,0.006895198143694900
47,20201015,1,17,119.95545232749200,0.0024023226156249000,1,0.00015799092053972000,0.0044458582891855000
48,20201015,1,18,119.97961938461600,0.00020144664164867300,1,0.0009878907281648910,0.001335007271335810
49,20201015,1,19,119.92039316326500,-0.0004937575611201340,0,8.88065292140376E-06,0.0005827213152856090
50,20201015,1,20,119.87661440953300,-0.00036513178093144900,0,0.0016435294239236700,-0.002388906927709190
51,20201015,1,21,119.72002673362100,-0.0013070942685899900,0,0.00010992813376670100,-0.0013621632828989300
52,20201015,1,22,119.794023481356,0.0006178906834310990,1,0.00026090234719054800,0.002565236155938970
53,20201015,1,23,119.7896844961240,-3.62210374733607E-05,1,0.0010246761172189500,-0.000588150264214238
